x,y
344930.92711023707,6526896.736521429
344927.1454302119,6526908.681081149
344917.8116769958,6526926.320222579
344920.0673970133,6526983.231004995
344917.4542508675,6527049.159388281
344950.4350600038,6527105.25945289
344965.7902556723,6527119.4867885485
344966.70217822585,6527142.49416088
344954.3687271215,6527248.965633519
344989.00270709395,6527314.417808579
344990.99143735506,6527364.593046174
344988.23059346806,6527434.248367737
345008.45759485755,6527444.951474567
345088.53031631,6527476.132255004
345139.1502668811,6527537.731930711
345218.081450386,6527623.926579469
345225.90355143975,6527648.633075709
345250.73398900125,6527671.639728151
345276.829395907,6527735.169732921
345256.7975151073,6527773.026367175
345241.67085499316,6527805.078516281
345233.50788531546,6527820.504951213
345219.0494044963,6527851.141253713
345166.06467034575,6527912.231846148
345199.2698456673,6527933.674174366
345231.8530347366,6527984.131909385
345272.7486309577,6528015.49230275
345312.4390688222,6528024.946487818
345328.98229543027,6528033.700338437
345366.3642212311,6528032.218681754
345397.06057468243,6528048.461653616
345414.841414758,6528049.166427392
345477.2650662754,6528032.809622686
345583.0672197947,6528012.609977175
345614.9038213864,6527983.111673153
345603.3750589993,6527922.725734511
345595.2120893216,6527915.162404456
345580.0854292074,6527898.836525089
345557.6446114853,6527878.044018931
345518.3976867739,6527810.380817118
345547.81557291467,6527783.123685309
345560.72220763005,6527742.357489582
345626.66468879115,6527731.852832844
345616.9839478703,6527684.292241167
345595.8450539196,6527664.706093187
345636.47177066933,6527578.621827793
345666.28007796593,6527569.184470189
345721.02230722737,6527529.568961033
345792.09023587964,6527514.142526104
345807.51679079235,6527474.527016945
345827.9297941476,6527444.862088039
345786.33506329823,6527343.598370488
345846.8324651411,6527287.5444989195
345838.6698554093,6527234.75773493
345753.2687670449,6527187.873001389
345728.8854420958,6527152.438262107
345705.59575231466,6527112.822872931
345673.8434980083,6527073.806913411
345650.2293771235,6527037.238584983
345619.1012687469,6527026.328389366
345592.9755664095,6527018.056956034
345555.6444529481,6526970.584791033
345518.80964468326,6526953.200851135
345508.7176057538,6526924.407350888
345500.3954800628,6526863.513288831
345426.4054518277,6526806.774800445
345353.6390591664,6526776.885505355
345283.2078145519,6526832.271077651
345269.7343252739,6526860.820174735
345163.0395062985,6526869.3654068
344958.7746730596,6526879.685651336
344930.92711023707,6526896.736521429
