Sanga										
11										
X										
Y										
Ksat										
Ds										
PT										
Mic										
Mac										
Argila										
Silte										
Areia										
CO										
345298.87	6526821.3	0.21	1.28	51.72	24.66	27.07	18.83	46.75	34.43	0.64
345374.49	6526821.3	0.82	1.48	44.13	13.78	30.35	10.61	32.52	56.87	0.24
345450.1	6526821.3	0.07	1.73	34.87	20.79	14.08	20.61	26.87	52.52	0.38
344920.79	6526920.45	0.69	1.36	48.54	21.84	26.7	20.03	30.93	49.05	0.36
344996.41	6526920.45	0.09	1.57	40.71	18.87	21.85	13.59	30.15	56.26	0.35
345072.03	6526920.45	0.2	1.6	39.56	16	23.56	6.89	30.78	62.33	0.13
345147.64	6526920.45	0.17	1.66	37.25	16.75	20.5	8.33	29.32	62.35	0.22
345223.26	6526920.45	0.2	1.59	40.09	16.73	23.36	8.46	33.61	57.93	0.36
345298.87	6526920.45	1.19	1.34	49.54	19.24	30.31	19.62	24.94	55.44	0.83
345374.49	6526920.45	0.05	1.63	38.4	25.94	12.46	17.73	32.08	50.18	0.33
345450.1	6526920.45	0.78	1.45	45.4	17.25	28.16	28.82	24.78	46.4	0.53
345525.72	6526920.45	0.21	1.67	37.01	20.94	16.08	22.66	27.18	50.16	0.51
344920.79	6527019.61	2.51	0.81	69.54	22.85	46.69	35.43	27.71	36.85	1.3
344996.41	6527019.61	2.59	0.9	66.01	19.62	46.39	29.62	29.87	40.51	1.67
345072.03	6527019.61	1.9	1.49	43.71	17.25	26.47	19.35	29.54	51.11	0.68
345147.64	6527019.61	0.02	1.62	39	30.06	8.94	34.97	24.15	40.88	0.55
345223.26	6527019.61	3.46	1.32	50.22	15.69	34.53	22	26.74	51.26	0.93
345298.87	6527019.61	0.54	0.85	67.83	36.77	31.06	20.55	38.86	40.59	2.52
345374.49	6527019.61	1.46	1.26	52.37	27.59	24.78	12.85	26.23	60.92	1.31
345450.1	6527019.61	1.28	1.38	47.96	16.56	31.4	12.33	31.22	56.45	0.61
345525.72	6527019.61	0.12	1.53	42.25	26.05	16.2	23.39	29.14	47.47	0.35
345601.33	6527019.61	0.38	0.9	66.1	22.1	44.01	45.88	22.05	32.07	0.56
344920.79	6527118.76	0.22	1.53	42.32	16.68	25.64	12.53	35	52.47	0.15
344996.41	6527118.76	0.32	1.53	42.16	18.68	23.48	14.85	32.77	52.38	0.33
345072.03	6527118.76	0.49	1.52	42.7	15.35	27.35	11.97	34.44	53.59	0.26
345147.64	6527118.76	0.5	1.49	43.9	16.94	26.96	16.63	49.17	34.19	0.46
