Tempo (h);Z(m);Theta;(-dtheta/dt);(-dtheta/dt)*dZ;q
1.5;0.15;0.2871844780328027;0.008862220575526452;0.0013293330863289677;0.0013293330863289677
1.5;0.3;0.35440374126591123;0.010421148864103691;0.0015631723296155536;0.002892505415944521
1.5;0.45;0.3506947016436769;0.015047291239031495;0.002257093685854724;0.005149599101799246
1.5;0.6;0.367908265245767;0.017380484372950485;0.0026070726559425726;0.007756671757741819
1.5;0.75;0.3460942151365154;0.018995059761806658;0.0028492589642709985;0.010605930722012817
1.5;0.9;0.32920697886303735;0.015190667316687891;0.0022786000975031835;0.012884530819516
1.5;1.05;0.3191057912577877;0.013806611427536836;0.0020709917141305254;0.014955522533646525
3.0;0.15;0.277970243224663;0.004431110287763226;0.0006646665431644838;0.0006646665431644838
3.0;0.3;0.34356865633588785;0.005210574432051846;0.0007815861648077768;0.0014462527079722605
3.0;0.45;0.33504972039757835;0.0075236456195157475;0.001128546842927362;0.002574799550899623
3.0;0.6;0.34983741463595175;0.008690242186475242;0.0013035363279712863;0.0038783358788709093
3.0;0.75;0.3263446569588195;0.009497529880903329;0.0014246294821354992;0.0053029653610064086
3.0;0.9;0.3134129265309578;0.0075953336583439455;0.0011393000487515917;0.006442265409758
3.0;1.05;0.3047507705816619;0.006903305713768418;0.0010354958570652627;0.007477761266823263
6.0;0.15;0.26875600841652325;0.002215555143881613;0.0003323332715822419;0.0003323332715822419
6.0;0.3;0.3327335714058644;0.002605287216025923;0.0003907930824038884;0.0007231263539861303
6.0;0.45;0.31940473915147977;0.0037618228097578738;0.000564273421463681;0.0012873997754498114
6.0;0.6;0.3317665640261365;0.004345121093237621;0.0006517681639856432;0.0019391679394354547
6.0;0.75;0.30659509878112357;0.004748764940451664;0.0007123147410677496;0.0026514826805032043
6.0;0.9;0.29761887419887834;0.0037976668291719727;0.0005696500243757959;0.003221132704879
6.0;1.05;0.29039574990553607;0.003451652856884209;0.0005177479285326314;0.0037388806334116313
12.0;0.15;0.2595417736083835;0.0011077775719408065;0.00016616663579112096;0.00016616663579112096
12.0;0.3;0.32189848647584096;0.0013026436080129614;0.0001953965412019442;0.00036156317699306514
12.0;0.45;0.3037597579053812;0.0018809114048789369;0.0002821367107318405;0.0006436998877249057
12.0;0.6;0.3136957134163213;0.0021725605466188106;0.0003258840819928216;0.0009695839697177273
12.0;0.75;0.2868455406034276;0.002374382470225832;0.0003561573705338748;0.0013257413402516021
12.0;0.9;0.28182482186679886;0.0018988334145859864;0.00028482501218789793;0.0016105663524395
12.0;1.05;0.27604072922941025;0.0017258264284421045;0.0002588739642663157;0.0018694403167058156
24.0;0.15;0.2503275388002438;0.0005538887859704032;8.308331789556048e-05;8.308331789556048e-05
24.0;0.3;0.3110634015458176;0.0006513218040064807;9.76982706009721e-05;0.00018078158849653257
24.0;0.45;0.28811477665928265;0.0009404557024394684;0.00014106835536592026;0.00032184994386245285
24.0;0.6;0.295624862806506;0.0010862802733094053;0.0001629420409964108;0.00048479198485886367
24.0;0.75;0.2670959824257317;0.001187191235112916;0.0001780786852669374;0.0006628706701258011
24.0;0.9;0.2660307695347194;0.0009494167072929932;0.00014241250609394897;0.00080528317621975
