Tempo (h);Z(m);Phim;Phit
1.5;0.15;0.2044;0.3544
1.5;0.3;0.2433999999999999;0.5433999999999999
1.5;0.45;0.2194;0.6694
1.5;0.6;0.23320000000000016;0.8332000000000002
1.5;0.75;0.2470000000000001;0.9970000000000001
1.5;0.9;0.2986000000000001;1.1986
1.5;1.05;0.3375999999999999;1.3876
3.0;0.15;0.2548;0.40480000000000005
3.0;0.3;0.2686;0.5686
3.0;0.45;0.3075999999999998;0.7575999999999998
3.0;0.6;0.2584000000000001;0.8584
3.0;0.75;0.33519999999999994;1.0852
3.0;0.9;0.4371999999999999;1.3372
3.0;1.05;0.4384000000000001;1.4884000000000002
6.0;0.15;0.343;0.493
6.0;0.3;0.3442000000000001;0.6442000000000001
6.0;0.45;0.4335999999999999;0.8835999999999999
6.0;0.6;0.4348000000000002;1.0348000000000002
6.0;0.75;0.436;1.186
6.0;0.9;0.5002000000000001;1.4002000000000001
6.0;1.05;0.514;1.564
12.0;0.15;0.406;0.556
12.0;0.3;0.3568000000000001;0.6568
12.0;0.45;0.4965999999999999;0.9465999999999999
12.0;0.6;0.5104000000000001;1.1104
12.0;0.75;0.5367999999999999;1.2868
12.0;0.9;0.6010000000000001;1.5010000000000001
12.0;1.05;0.6651999999999998;1.7151999999999998
24.0;0.15;0.4942000000000001;0.6442000000000001
24.0;0.3;0.4449999999999999;0.7449999999999999
24.0;0.45;0.5344;0.9843999999999999
24.0;0.6;0.5986000000000001;1.1986
24.0;0.75;0.6628000000000001;1.4128
24.0;0.9;0.664;1.564
24.0;1.05;0.7786;1.8286
36.0;0.15;0.5949999999999999;0.7449999999999999
36.0;0.3;0.4449999999999999;0.7449999999999999
36.0;0.45;0.6604000000000001;1.1104
36.0;0.6;0.6993999999999999;1.2993999999999999
36.0;0.75;0.7384000000000002;1.4884000000000002
36.0;0.9;0.8025999999999999;1.7026
36.0;1.05;0.8794;1.9294
48.0;0.15;0.5949999999999999;0.7449999999999999
48.0;0.3;0.4953999999999999;0.7953999999999999
48.0;0.45;0.7990000000000002;1.249
48.0;0.6;0.8002000000000001;1.4002000000000001
48.0;0.75;0.8014000000000001;1.5514000000000001
48.0;0.9;0.9034;1.8034
48.0;1.05;0.9927999999999996;2.0427999999999997
72.0;0.15;0.6958000000000001;0.8458000000000001
72.0;0.3;0.6214;0.9214
72.0;0.45;1.0006000000000002;1.4506000000000001
72.0;0.6;0.9388000000000002;1.5388000000000002
72.0;0.75;0.9022;1.6522000000000001
72.0;0.9;1.0042;1.9042
72.0;1.05;1.0053999999999996;2.0553999999999997
120.0;0.15;0.7839999999999999;0.9339999999999999
120.0;0.3;0.9993999999999998;1.2993999999999999
120.0;0.45;1.1518;1.6018
120.0;0.6;1.153;1.7530000000000001
120.0;0.75;1.1542;1.9042
120.0;0.9;1.1553999999999998;2.0553999999999997
120.0;1.05;1.1440000000000001;2.194
240.0;0.15;1.0990000000000002;1.249
240.0;0.3;1.2009999999999998;1.501
240.0;0.45;1.4038;1.8538
240.0;0.6;1.3672;1.9672
240.0;0.75;1.3431999999999995;2.0931999999999995
240.0;0.9;1.2561999999999998;2.1561999999999997
240.0;1.05;1.2448;2.2948
360.0;0.15;1.3510000000000002;1.5010000000000001
360.0;0.3;1.3017999999999998;1.6018
360.0;0.45;1.744;2.194
360.0;0.6;1.6696;2.2696
360.0;0.75;1.5951999999999995;2.3451999999999993
360.0;0.9;1.2687999999999997;2.1687999999999996
360.0;1.05;1.2574;2.3074000000000003
480.0;0.15;1.7038;1.8538
480.0;0.3;1.5034;1.8034000000000001
480.0;0.45;1.7566;2.2066
480.0;0.6;1.6822;2.2822
480.0;0.75;1.6078;2.3578
480.0;0.9;1.6467999999999998;2.5467999999999997
480.0;1.05;1.6480000000000001;2.6980000000000004
