Z(m);Tempo(h);q;dphidz;K;Theta;h;Ln K
0.15;1.5;0.0013293330863289;-1.1279999990671823;0.0011784867796349409;0.2871844780328027;0.17763623928534436;-6.74352405361033
0.15;3.0;0.0006646665431644;-1.2180000019445059;0.0005457032365379942;0.277970243224663;0.21490422038068158;-7.513435252805629
0.15;6.0;0.0003323332715822;-1.1970000011144677;0.00027763848894969163;0.2687560084165232;0.22328125630700557;-8.189190689988282
0.15;12.0;0.0001661666357911;-1.310999999656535;0.00012674800597607439;0.2595417736083835;0.2363670918606755;-8.973309647560916
0.15;24.0;8.308331789556048e-05;-1.338000000190918;6.20951553689876e-05;0.2503275388002438;0.253797522361245;-9.686842585449886
0.15;36.0;5.538887859704032e-05;-1.3920000010511522;3.979086103104459e-05;0.2449375569646424;0.3125363411419886;-10.13187329437669
0.15;48.0;4.154165894778024e-05;-1.4789999980439608;2.80876666685063e-05;0.241113303992104;0.3562068553675339;-10.480179986567226
0.15;72.0;2.769443929852016e-05;-1.3800000022995047;2.0068434240849785e-05;0.2357233221565026;0.2692158025310773;-10.81636241310469
0.15;120.0;1.6616663579112094e-05;-1.3319999975388475;1.247497268004122e-05;0.228932748126335;0.27629726931139226;-11.291786106305745
0.15;240.0;8.308331789556047e-06;-1.1159999973676928;7.4447417644739195e-06;0.2197185133181952;0.2926630517290964;-11.808002578195627
0.15;360.0;5.538887859704032e-06;-0.8820000066601487;6.279918160860367e-06;0.2143285314825939;0.306793682131422;-11.978153609279213
0.15;480.0;4.154165894778024e-06;-0.9929999984594319;4.183450051584001e-06;0.2105042785100555;0.3264843439129804;-12.384374280666758
0.3;1.5;0.0028925054159445;-1.1279999990671823;0.002564277853135198;0.3544037412659112;0.38983570875822915;-5.966078378737589
0.3;3.0;0.0014462527079722;-1.2180000019445059;0.001187399594140636;0.3435686563358878;0.4314457419201289;-6.735989577932847
0.3;6.0;0.0007231263539861;-1.1970000011144677;0.0006041155833858251;0.3327335714058644;0.3609174260697452;-7.4117450151155
0.3;12.0;0.000361563176993;-1.310999999656535;0.0002757918970920861;0.3218984864758409;0.3467589351619159;-8.195863972688272
0.3;24.0;0.0001807815884965;-1.338000000190918;0.00013511329482115427;0.3110634015458176;0.37568200712642486;-8.909396910577367
0.3;36.0;0.0001205210589976;-1.3920000010511522;8.65812204788721e-05;0.3047252831696249;0.3889921869883147;-9.354427619504726
0.3;48.0;9.039079424826628e-05;-1.4789999980439608;6.111615575916963e-05;0.3002283166157941;0.4074220494271987;-9.702734311694527
0.3;72.0;6.0260529498844194e-05;-1.3800000022995047;4.366705028871856e-05;0.2938901982396015;0.4748059951014007;-10.038916738231993
0.3;120.0;3.615631769930652e-05;-1.3319999975388475;2.7144382707292035e-05;0.2859051134363055;0.515678615348011;-10.514340431433048
0.3;240.0;1.8078158849653255e-05;-1.1159999973676928;1.619906710779048e-05;0.275070028506282;0.4576639831429705;-11.030556903322928
0.3;360.0;1.205210589976884e-05;-0.8820000066601487;1.3664519057552282e-05;0.2687319101300894;0.42873678664781095;-11.200707934406514
0.3;480.0;9.039079424826627e-06;-0.9929999984594319;9.102799032074631e-06;0.2642349435762586;0.4778059875276339;-11.60692860579406
0.45;1.5;0.0051495991017992;-1.1279999990671823;0.004565247434448354;0.3506947016436769;0.48822992315445585;-5.389282563896254
0.45;3.0;0.0025747995508996;-1.2180000019445059;0.0021139569349663367;0.3350497203975783;0.5021824662769266;-6.159193763091478
0.45;6.0;0.0012873997754498;-1.1970000011144677;0.001075521950084516;0.3194047391514797;0.5719066647053562;-6.8349492002741306
0.45;12.0;0.0006436998877249;-1.310999999656535;0.0004909991517113204;0.3037597579053812;0.6128462941081899;-7.6190681578467645
0.45;24.0;0.0003218499438624;-1.338000000190918;0.00024054554844280682;0.2881147766592826;0.562978885147109;-8.332601095736015
0.45;36.0;0.0002145666292416;-1.3920000010511522;0.00015414269330429065;0.2789630493058292;0.5252806476629901;-8.77763180466282
0.45;48.0;0.0001609249719312;-1.4789999980439608;0.0001088066072643881;0.272469795413184;0.6068600312910518;-9.125938496853356
0.45;72.0;0.0001072833146208;-1.3800000022995047;7.774153220437173e-05;0.2633180680597306;0.6119818946645463;-9.46212092339082
0.45;120.0;6.436998877249057e-05;-1.3319999975388475;4.832581748605689e-05;0.2517882551599805;0.6183586002260962;-9.93754461659171
0.45;240.0;3.2184994386245284e-05;-1.1159999973676928;2.8839600772544776e-05;0.2361432739138819;0.6868649828789831;-10.453761088481592
0.45;360.0;2.1456662924163524e-05;-0.8820000066601487;2.4327282043242866e-05;0.2269915465604284;0.7282452650924458;-10.623912119565178
0.45;480.0;1.6092497193122642e-05;-0.9929999984594319;1.6205938789616308e-05;0.2204982926677833;0.6299109693047642;-11.030132790952724
0.6;1.5;0.0077566717577418;-1.1279999990671823;0.0068764820604222555;0.367908265245767;0.5900230626177025;-4.9796480862368435
0.6;3.0;0.0038783358788709;-1.2180000019445059;0.00318418380351333;0.3498374146359517;0.6992988140319095;-5.749559285432067
0.6;6.0;0.0019391679394354;-1.1970000011144677;0.0016200233397075491;0.3317665640261365;0.7000445520034555;-6.425314722614745
0.6;12.0;0.0009695839697177;-1.310999999656535;0.0007395758733575275;0.3136957134163213;0.7007253272372987;-7.209433680187379
0.6;24.0;0.0004847919848588;-1.338000000190918;0.00036232584812378587;0.295624862806506;0.7655368199088785;-7.922966618076578
0.6;36.0;0.0003231946565725;-1.3920000010511522;0.00023218006920146795;0.2850540928436301;0.8071267601634884;-8.367997327003486
0.6;48.0;0.0002423959924294;-1.4789999980439608;0.00016389181389450902;0.2775540121966908;0.6802898623121071;-8.716304019193919
